ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
10,-0.005371,0.9785,-0.2178,-0.1087,0.1144,0.1507,0.60014,0.74701,0.22739,0.17351,0.008347,0.002991,0.001678,-1307720875,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.003418,0.9678,-0.1636,-0.01335,0.2766,-0.3548,6.6,-32.25,-3.9,0.60791,0.7192,0.2569,0.2174,-1307075548,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.01807,0.9526,-0.2422,0.1278,0.4539,-0.07248,-1.65,-39.3,16.05,0.073771,0.08563,-0.7865,-0.6071,-1307373908,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.004883,0.9644,-0.1602,-0.103,0.07439,0.003815,0.5095,0.59651,0.47233,0.40186,0.006775,-0.0231,-0.002319,-1306984524,68
6,0.01807,0.9761,-0.2134,0.04005,-0.2556,0.009537,0.17561,0.22831,0.74003,0.60777,0.0004578,-0.003632,-0.01382,-1306680942,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.005859,0.9639,-0.1812,0.09727,0.1659,0.2537,0.50684,0.60672,0.46979,0.39282,0.005417,-0.02023,-0.00354,-1306710579,126
9,0.005859,0.9854,-0.125,-0.4272,0.288,0.1335,0.44919,0.51577,0.54595,0.48389,-0.002823,-0.006363,0.003159,-1307268755,70
10,-0.01074,0.9717,-0.207,-0.1087,-0.007629,-0.03242,0.60013,0.7471,0.22725,0.17334,0.003036,-0.003815,0.01257,-1307630958,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.008789,0.9731,-0.1582,0.1087,0.2766,-0.1106,7.65,-34.95,-2.55,0.60787,0.7191,0.2571,0.2176,-1306985446,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.021,0.958,-0.2539,0.3109,-0.03433,-0.07248,-2.1,-37.8,15,0.073474,0.08527,-0.7866,-0.6071,-1307261851,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.005859,0.9751,-0.1548,-0.164,0.07439,-0.1183,0.50955,0.59647,0.47234,0.40185,-0.003876,-0.01237,0.002975,-1306915038,68
6,0.007324,0.9766,-0.2026,0.1011,-0.1335,-0.0515,0.1749,0.22737,0.74036,0.60793,-0.01015,-0.003128,-0.002975,-1306600984,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.0004883,0.9688,-0.1802,-0.08583,0.227,0.1926,0.50697,0.60695,0.46949,0.39265,-0.001083,-0.01534,-0.002548,-1306641146,126
9,0.005371,0.9976,-0.1401,-0.1831,0.227,0.01144,0.44921,0.51592,0.54586,0.48382,-0.003433,0.005859,-0.01187,-1307186876,70
10,0.00293,0.9727,-0.2134,0.07439,0.1144,0.02861,0.60015,0.7471,0.22718,0.17334,0.01662,-0.002838,0.00618,-1307620841,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.004395,0.9688,-0.1729,0.4139,0.2155,0.01144,6.6,-36.45,-2.85,0.60775,0.719,0.2573,0.2178,-1306875452,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.01025,0.9556,-0.252,-0.05531,-0.4005,-0.07248,-1.2,-38.7,14.85,0.073411,0.08512,-0.7867,-0.607,-1307135884,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.004395,0.981,-0.1587,0.2022,0.07439,-0.1793,0.50955,0.59647,0.47235,0.40184,-0.00238,-0.006516,-0.0009155,-1306844431,68
6,0.02393,0.9883,-0.1997,0.04005,0.04959,-0.0515,0.1755,0.22808,0.74013,0.60777,0.006485,0.008575,-6.104e-05,-1306530889,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.01172,0.9556,-0.1816,0.03624,0.1049,0.009537,0.50676,0.60683,0.4697,0.39285,0.011,-0.0285,-0.003906,-1306580538,126
9,0.007813,0.9912,-0.125,-0.06104,-0.2613,0.01144,0.44942,0.51606,0.54567,0.48368,-0.0009308,-0.0005035,0.003159,-1307098854,70
10,-0.001953,0.9736,-0.2236,-0.1698,-0.2518,-0.03242,0.60004,0.74704,0.22748,0.17358,0.01172,-0.001846,-0.003998,-1307490862,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.001953,0.9771,-0.166,0.04768,0.03242,0.1335,7.2,-35.55,-2.7,0.60777,0.719,0.2573,0.2177,-1306855482,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
