ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
9,-0.3076,0.9307,-0.008301,2.111,-2.153,-3.222,0.42288,0.23845,0.67053,0.56098,-0.008026,-0.02332,0.004654,-817451206,70
10,0.1313,0.9783,-0.2737,-0.4807,-5.844,2.764,0.27351,0.27299,-0.74623,-0.54204,0.01909,0.01997,-0.01091,-817496145,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1934,0.9521,-0.03418,0.9975,1.017,1.011,-27.688,-30.297,15.178,0.36616,0.257,-0.6712,-0.591,-817496419,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.07227,1,-0.01855,2.602,-9.905,-4.337,21.199,-26.989,21.994,0.29338,0.2494,0.6856,0.6179,-817467685,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03125,0.9849,-0.07129,0.9747,5.348,-1.545,0.23098,0.28332,0.67286,0.64314,-0.02234,-0.01151,-0.005249,-816836404,68
6,0.1699,0.9712,-0.08398,-6.657,3.641,-2.357,0.036729,-0.027666,-0.73888,-0.67227,0.07846,-0.02022,0.00943,-816782622,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.001465,0.9878,0.03516,-8.924,2.077,-1.228,0.15574,0.14329,0.68147,0.70058,0.01003,-0.01167,0.00502,-816912718,126
9,-0.292,0.9458,-0.007324,1.867,-3.374,-2.672,0.42297,0.23831,0.67063,0.56085,0.008011,-0.008041,0.005768,-817441299,70
10,0.1362,0.9802,-0.2605,0.3128,-0.5951,-0.04387,0.2748,0.26817,-0.74707,-0.54264,0.01668,0.02206,-0.0004272,-817316159,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2173,0.9482,-0.006836,-1.688,-4.721,-0.2708,-27.838,-32.097,16.828,0.36759,0.2543,-0.6708,-0.5918,-817334240,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.08887,0.9517,-0.05176,3.517,-0.6275,-5.192,22.699,-26.239,21.544,0.29675,0.2505,0.6855,0.6158,-817397686,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.06152,0.9917,-0.08447,-1.04,2.846,-10.76,0.23146,0.27731,0.67677,0.64149,0.01904,-0.004944,-0.01463,-816704550,68
6,0.1714,0.978,-0.06836,-5.375,9.439,-4.189,0.038528,-0.026269,-0.73608,-0.67528,0.07919,-0.01407,0.01668,-816714822,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.003906,0.9692,0.04688,-11,2.932,-3.731,0.15649,0.13888,0.67563,0.70693,0.01122,-0.02946,-0.001587,-816813210,126
9,-0.2886,0.9565,-0.001465,2.172,-3.862,-2.245,0.42335,0.23841,0.67064,0.56052,0.01199,0.002884,0.01173,-817421837,70
10,0.1367,0.9622,-0.2654,-0.4196,-5.966,0.2003,0.27386,0.26688,-0.74746,-0.54321,0.01727,0.003937,-0.005524,-817274300,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1978,0.9507,-0.01123,-0.3452,0.4063,-3.384,-25.288,-29.697,14.878,0.36772,0.2537,-0.6696,-0.5934,-817225835,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1074,0.9678,-0.06201,3.883,1.997,-5.985,22.253,-25.466,22.521,0.29732,0.2476,0.6881,0.6139,-817342570,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
